2.826,1.000,0.200,0.040,-0.009,-0.011,0.050,0.909,0.005,0.001,0.000,0.000,-0.300,-0.299,-0.299,0.500,0.100,0.001,0.000,0.101,0.200,-0.200,0.200,0.500
2.925,1.000,0.200,0.040,-0.008,-0.009,0.047,0.914,-0.024,0.000,-0.000,0.000,-0.300,-0.299,-0.299,0.500,0.100,0.001,0.000,0.099,0.200,-0.200,0.200,0.500
3.017,1.000,0.200,0.037,-0.007,-0.008,0.043,0.917,-0.044,0.000,-0.000,0.000,-0.300,-0.300,-0.300,0.500,0.100,0.001,0.000,0.092,0.200,-0.200,0.200,0.500
3.116,1.000,0.200,0.040,-0.005,-0.007,0.045,0.922,0.017,0.000,0.000,0.000,-0.300,-0.299,-0.299,0.500,0.100,0.001,0.000,0.099,0.200,-0.200,0.200,0.500
3.217,1.000,0.200,0.040,-0.005,-0.005,0.045,0.926,-0.001,0.000,-0.000,0.000,-0.300,-0.299,-0.299,0.500,0.100,0.001,0.000,0.101,0.200,-0.200,0.200,0.500
3.326,1.000,0.200,0.044,-0.004,-0.005,0.047,0.932,0.022,0.001,0.000,0.000,-0.300,-0.299,-0.299,0.500,0.100,0.001,0.000,0.109,0.200,-0.200,0.200,0.500
3.426,1.000,0.200,0.040,-0.003,-0.004,0.043,0.936,-0.042,0.000,-0.000,0.000,-0.300,-0.299,-0.299,0.500,0.100,0.001,0.000,0.100,0.200,-0.200,0.200,0.500
3.524,1.000,0.200,0.039,-0.003,-0.003,0.042,0.940,-0.013,0.000,-0.000,0.000,-0.300,-0.299,-0.299,0.500,0.100,0.001,0.000,0.098,0.200,-0.200,0.200,0.500
3.615,1.000,0.200,0.036,-0.002,-0.003,0.039,0.944,-0.035,0.000,-0.000,0.000,-0.300,-0.300,-0.300,0.500,0.100,0.001,0.000,0.091,0.200,-0.200,0.200,0.500
3.735,1.000,0.200,0.048,-0.002,-0.002,0.050,0.950,0.093,0.001,0.000,0.000,-0.300,-0.299,-0.299,0.500,0.100,0.001,0.000,0.120,0.200,-0.200,0.200,0.500
3.815,1.000,0.200,0.032,-0.002,-0.002,0.034,0.952,-0.203,0.000,-0.000,0.000,-0.300,-0.300,-0.300,0.500,0.100,0.001,0.000,0.080,0.200,-0.200,0.200,0.500
3.916,1.000,0.200,0.040,-0.001,-0.002,0.042,0.956,0.081,0.000,0.000,0.000,-0.300,-0.299,-0.299,0.500,0.100,0.001,0.000,0.101,0.200,-0.200,0.200,0.500
